Random;ItemAVG;MMMF;WMF;HPF;IBPR;WBPR;SKM;NEUMF;VAECF
-90.3609734170177;-98.8897289142334;51.8191270846018;131.268446186136;396.581141142928;-14.1810741765821;501.136223424236;484.60878346025;534.181075884413;358.321879897843
-90.511227994134;-98.9255016180275;49.830148070662;128.57455783539;374.649271642174;-15.9820783850373;480.426297938705;463.211302663326;514.106029304447;350.84339991922
0;0;0;0;0;0;0;0;0;0
-90.1262393972491;-98.9161956412056;49.5123414142575;127.492581466098;378.365517121138;-17.5295553935808;487.109514756074;466.647606565028;519.059623953691;348.744451060368
-90.6128211350056;-98.9296894323168;49.4882798563695;128.155305378277;374.919567913156;-15.8687247318814;477.754014255864;461.84516565845;511.812171496692;350.149416646558
-90.3810092779524;-98.8951748594486;53.0545911687154;133.808799608543;381.304740536886;-14.1629542064547;497.91446912335;477.974859377076;531.098417430826;360.022347774583
0;0;0;0;0;0;0;0;0;0
-90.0750277039057;-98.9060004038219;51.8065658798307;131.892683175857;390.520323590774;-16.2263084400374;491.988580161132;471.816662467183;525.048320262515;355.463205358252
-90.5826821880241;-98.9284470506639;49.310272915277;127.47877756954;373.674774855813;-16.1639796319586;478.728381168902;462.233752184755;512.445566029611;348.905483815518
-90.3673837673538;-98.901985430198;52.5810268945373;134.097496631706;380.526414766747;-13.5618382880534;493.755153962925;475.050294765485;527.345061877077;362.990910821904
0;0;0;0;0;0;0;0;0;0
-90.497808502048;-98.9358728326046;48.5858732728081;128.93664090047;378.447122385996;-16.5277933906856;474.796761911304;457.462668507236;508.21667305222;344.539035296147
-90.5427741347312;-98.9247412581295;49.7100452634501;128.44115871839;375.466661085438;-15.9517197935131;480.778221357625;464.288711852186;514.549799641749;351.476433018027
-90.3130888886939;-98.8947585846421;53.4033407597589;130.751818572925;379.551446673627;-14.5096727568528;498.171590612322;477.616338036135;531.359206240062;359.924688623799
0;0;0;0;0;0;0;0;0;0
-90.1099304969007;-98.8993820072718;51.346183730221;132.340870421956;380.396933111567;-13.8428807650696;495.162290504195;475.816598783811;528.887545472093;360.220291763378
-90.5832443514028;-98.9236537969963;50.2710308244102;127.994516164972;375.397684750125;-16.2673997368339;481.425033616196;464.611248977194;515.159964754541;350.764966143755
-90.5971067345182;-98.9428508036993;47.1710702457307;128.835224501692;376.957203355261;-16.0708284507015;471.144403758136;454.530762253465;504.145114697159;344.937727657022
0;0;0;0;0;0;0;0;0;0
-90.240941931135;-98.9150633329937;51.9006354689758;130.677179691726;385.408079360079;-16.0398157003666;485.851713681223;468.485229275218;520.136649898829;351.208628787045
-90.5986685403656;-98.9273905361023;49.4957649996362;127.990479480556;374.799312342603;-15.936041550768;479.441655522171;462.7847378578;513.012038430452;350.507082929604
-90.2814786961151;-98.9025079559022;51.280410069903;131.109917255716;377.073579286589;-15.110779326353;493.630591239729;473.94929232094;527.040594097841;357.967390380148
