Random;ItemAVG;MMMF;WMF;HPF;IBPR;WBPR;SKM;NEUMF;VAECF
0.990704119850187;1;0.561204744069913;0.469123595505618;0.104348314606742;0.82496379525593;0;0.000559300873907615;0;0.127523096129838
0.991973052703847;1;0.547768105214604;0.458423990817323;0.109755607762366;0.821976700028962;4.14400497752604e-05;0.000476437207007155;0;0.118082472457332
0;0;0;0;0;0;0;0;0;0
0.991470974808324;1;0.552648776925885;0.468838627236218;0.110267981014969;0.828631617378605;0;0.000302665206279664;0;0.13015407082877
0.99186176934665;1;0.547494538172109;0.456581234872879;0.106643706760529;0.820712857785423;5.34580867181197e-05;0.000534634414513469;0;0.115808796755746
0.992343422235541;1;0.552040755169314;0.462798921186695;0.122262511237639;0.822731994805714;0;0.000423034661871941;0;0.121987813405254
0;0;0;0;0;0;0;0;0;0
0.990406637231164;1;0.549811992593648;0.461482694772824;0.099970801880074;0.82712006836633;0;0.000252100840336134;0;0.123897592935479
0.991959652690862;1;0.548968992490614;0.459255882352941;0.108850735294118;0.82178338548185;5.00156445556946e-05;0.000537656445556946;0;0.119543632665832
0.992592314297982;1;0.547761378273937;0.457947617003005;0.120040790038643;0.820635465865178;0;0.000366036925719193;0;0.110634392443109
0;0;0;0;0;0;0;0;0;0
0.990963855421687;1;0.547951807228916;0.451506024096386;0.0986746987951807;0.820240963855422;0;0.000301204819277108;0;0.121566265060241
0.992081055323358;1;0.548818090218289;0.459770725798531;0.108726296874261;0.822272608225933;5.39629189083012e-05;0.000553015339509878;0;0.117953555878084
0.991800422871852;1;0.550447232947233;0.465938132009561;0.124168045596617;0.824258135686707;0;0.000339216767788196;0;0.120566280566281
0;0;0;0;0;0;0;0;0;0
0.991155797924714;1;0.55484359615239;0.461609482693327;0.116720442323714;0.822421419374385;0;0.000246156176626524;0;0.119712186624252
0.992250720355983;1;0.546995659627239;0.461089652405442;0.109600558047927;0.823154356785934;2.7027027027027e-05;0.000593938067622278;0;0.119915344494292
0.990745033112583;1;0.551859532938306;0.448279452771;0.0998745207389334;0.817519170442663;0.000132014639247124;0.000198239804810038;0;0.112937434646218
0;0;0;0;0;0;0;0;0;0
0.990642862829393;1;0.548981370909959;0.454606719210254;0.101269803359605;0.822880741979142;0;0.000253164556962025;0;0.123069421224425
0.992125560783454;1;0.548015738410476;0.459023853813328;0.108563719590035;0.821366943866942;5.40358171937119e-05;0.000580698107013896;0;0.117976857424226
0.991868773477054;1;0.553069573738364;0.465631634819533;0.120952964233219;0.82567450596113;0;0.000256001959823616;0;0.11895843540748
