Aug;Mul;xQuad
31.6986309897441;68.0282413483636;139.076968568272
48.4348122387651;116.781270210429;407.647629034078
NaN;NaN;NaN
42.3067244402853;100.529241996493;368.049275339525
45.4823716131957;106.019725654687;332.638022899898
37.1363742375669;95.2409940981844;337.344696864883
NaN;NaN;NaN
41.0802509381203;97.3703655409224;384.658292403761
44.8566908630896;105.085687727599;329.398780429429
40.2521047928131;100.972045842936;360.777427632232
NaN;NaN;NaN
44.4175484568428;109.097371961716;494.569425920813
44.2905266328914;104.106675394523;330.696554289853
42.5046267735966;100.740283775447;290.252930289945
NaN;NaN;NaN
44.2257227946778;104.548008034045;307.621568793431
44.2883840013823;104.063978046478;326.2380453706
38.6115122756344;101.48158654838;643.899577057974
NaN;NaN;NaN
42.5726779946191;102.780136665582;502.208712629265
44.272310170462;103.828568345242;327.68825052693
43.289066971952;105.976531196337;316.754436176302
