Aug;Mul;xQuad
-2.27376598841553;-9.26062844324429;-8.83103894341511
4.02580507683699;-2.87457879248316;-1.16394853993897
NaN;NaN;NaN
6.52431590637843;3.9712434668707;2.33976862662044
3.50472120278802;-4.05842676345332;-2.30182911319242
1.10915822327087;-6.63107130081217;-1.52672969728122
NaN;NaN;NaN
6.26791619413052;2.41965214438698;1.12417230428014
3.52236268429773;-3.71345412411108;-2.02779042214258
2.06554818079495;-5.2782252525908;-0.708273474343363
NaN;NaN;NaN
8.72360412431252;11.2227502226112;5.33163932621251
3.26004978548343;-4.52338586773246;-2.14783340708152
1.57426170705643;-8.30005666813191;-4.55761768301509
NaN;NaN;NaN
3.29434389682826;-4.29548272674345;-4.92037710474109
3.07220093516831;-4.53250003428279;-2.06745985858602
11.4432076273795;13.9370772622053;8.1189231345184
NaN;NaN;NaN
9.84067230546689;12.7873130635708;5.22955785431597
3.10116043288155;-4.72946584440398;-2.08772023426952
2.61186532459791;-5.83888069583155;-4.06799107807852
