Aug;Mul;xQuad
-2.75127332159347;-9.49588641835652;-9.17184640846756
2.98851778791499;-5.6238763386578;-3.90963803905409
NaN;NaN;NaN
6.39580837667163;-0.822567466754679;-0.0560672783359389
1.23303514323944;-7.13379085332966;-5.66425910397396
1.86194000129348;-6.28437826824055;-4.58460180132486
NaN;NaN;NaN
6.07561393727555;-3.98601471844947;-1.25557582693468
1.46410273498063;-6.65257041304473;-5.39749570702892
1.62163604757125;-6.24176195552122;-4.328351851806
NaN;NaN;NaN
10.9964023678642;9.49325433494486;3.15180503297104
1.44217704787537;-7.15081849907138;-5.4137450376991
-0.997024625377061;-10.7079253192845;-6.87586601677934
NaN;NaN;NaN
0.71305671783845;-8.34998341128376;-7.16836081690313
1.2131784227673;-7.62747936008414;-5.36332720134767
14.5158576202637;18.7291871946732;5.83694537986275
NaN;NaN;NaN
13.0872075667492;12.6525904532503;3.98022878686652
1.24585373813081;-7.45759302603138;-5.41405664422735
-0.121615829741872;-9.03426043129815;-6.71277552330257
