Aug;Mul;xQuad
3.53407871663951;11.4970054828;10.1457814501648
-0.422609036865117;1.59405986586664;0.963515843943648
NaN;NaN;NaN
-0.538177105532588;0.178763252717395;0.0178039769554969
-0.110668755479535;2.63017951334491;1.85693548155283
-0.230173921177825;2.15400155428111;1.37240863201673
NaN;NaN;NaN
-0.438375006352853;0.320617142041515;0.226702812239466
-0.159388446225412;2.47689480121244;1.74013452029706
-0.18561393289266;2.10708015132139;1.22519456826934
NaN;NaN;NaN
-0.465661530606488;-0.349338131178265;-0.199617746026118
-0.205302587405942;2.50725669036424;1.74315640305039
0.350046329661299;4.21085143621952;2.69741583444871
NaN;NaN;NaN
0.0502952987071093;3.10146704168552;2.45931408211078
-0.158150445677088;2.61717111201694;1.74084478359119
-0.521564520388505;-0.586110688018849;-0.270385470500198
NaN;NaN;NaN
-0.557020795561756;-0.507250533240099;-0.173323068142477
-0.171819638980659;2.58475782692306;1.7353878248244
0.214587425545127;3.37397717372294;2.37033738934815
