Random;ItemAVG;MMMF;WMF;HPF;IBPR;WBPR;SKM;NEUMF;VAECF
0.00508223202904166;1.53756481062395e-05;0.0456756416288195;0.0496611900712262;0.0573997835593833;0.0285317116812942;0.0542755520144012;0.0537141089100726;0.0533234017537788;0.0468523358204768
0.00413305323596245;8.84698374212729e-05;0.111130174080779;0.0995833374245625;0.137122590679258;0.0367364979301415;0.175369089971655;0.125497255840066;0.131172793956018;0.154417805495842
0;0;0;0;0;0;0;0;0;0
0.00458895288573855;0.000100666697328712;0.111899810537299;0.106212674676324;0.140780387761199;0.0383526592652541;0.186665599761501;0.12620884657331;0.136386348988933;0.165158029904849
0.004276272520457;6.70996103242523e-05;0.104443047066051;0.0928707026442191;0.126122479436158;0.0367743470823577;0.161237261158416;0.116170048928705;0.121298084808708;0.14229748787216
0.00375768149072516;0.000120992135511192;0.0891836295592096;0.0846397862047637;0.121620400108468;0.0281527476866649;0.133410858887993;0.111347431359398;0.110136906185465;0.11431869203157
0;0;0;0;0;0;0;0;0;0
0.00409358838288941;0.000144971286905033;0.116189167997348;0.120629298729968;0.149370489875988;0.0423724915764609;0.195105680781949;0.135598270012844;0.144057483298421;0.176566024726847
0.00439573103432214;4.87833334381008e-05;0.103255538045857;0.0902516311395263;0.125297415195794;0.0359652402350579;0.159487386782757;0.114949352914532;0.120625392346278;0.139927534663676
0.00359056784247575;0.00018354457924842;0.0913836015171791;0.0860074872988274;0.119278784035917;0.0283713844833201;0.136044308659291;0.109770112735832;0.107523816045364;0.117147948370045
0;0;0;0;0;0;0;0;0;0
0.00451952655894523;0.000174449337853163;0.112707363123812;0.107560429196104;0.141668216280222;0.0388259840977613;0.186891878869889;0.127431896802296;0.136674040944877;0.166720181050363
0.0042748583547729;5.17898064584725e-05;0.104546120039729;0.092820355702752;0.125946999333959;0.0365984031588103;0.161476810586509;0.116006592607928;0.121311195782008;0.14202009930083
0.00386069002768858;0.000110803324099723;0.0888315425181848;0.0836551934982957;0.121233256599384;0.0291057380564181;0.133272938011595;0.110766554678343;0.110010524962648;0.115279230098917
0;0;0;0;0;0;0;0;0;0
0.00409856652744223;0;0.0975465154838029;0.0880786661822493;0.124116329091204;0.0314111313459137;0.150050069528574;0.116497911095735;0.115319775023409;0.128509556865997
0.00425317502802799;8.893413455008e-05;0.103133661499462;0.0925551013198954;0.126941229843782;0.036420993525845;0.15993193696617;0.116165560068361;0.122009391117984;0.140835234695757
0.00436585842921809;0.000122087314906783;0.109982671343161;0.103826920137882;0.134013552878843;0.0373807868919155;0.176189217482233;0.120616438169533;0.128056026181408;0.158076286856214
0;0;0;0;0;0;0;0;0;0
0.00439447863917545;0.000176366363543857;0.111885870848276;0.10708433191041;0.14013808021813;0.0386062285259918;0.18460533796884;0.126454458236606;0.135211839124902;0.164646150216516
0.00428377169899847;5.19789541876653e-05;0.104198946729472;0.0922074581496785;0.126046301435936;0.0364934318441735;0.160925549388026;0.115569621374087;0.121385070196363;0.141892777036877
0.00395063283710451;0.00010851871947911;0.0915052817023705;0.0870596859872265;0.122513631393913;0.0299592689860682;0.138641058877081;0.113766434015329;0.111491402922681;0.118614066679886
