Random;ItemAVG;MMMF;WMF;HPF;IBPR;WBPR;SKM;NEUMF;VAECF
0.104980916105033;0.00052864795491847;0.726087272306798;0.690075485472184;0.817474853993737;0.502945631616132;0.812711444347343;0.759599597141043;0.793180997611858;0.73241119993146
0.0202947173547779;0.000208042684387842;0.429248085508955;0.361476692798703;0.491036134866307;0.167461225909926;0.593017940695528;0.439107107904648;0.487513645752614;0.536877338171698
0;0;0;0;0;0;0;0;0;0
0.0220375831908749;0.000190580314306599;0.456833713883025;0.411993058063909;0.527721375610694;0.183374481992774;0.645975819052683;0.472893280370267;0.528528403998752;0.592422158441611
0.0302834154083522;0.00029111202016769;0.470722700770683;0.405467991642935;0.534907454869416;0.21287358319264;0.627060107274364;0.483264779114073;0.529106116164292;0.568366913852808
0.0394588742283388;8.29975247465358e-05;0.443107691310681;0.366055568023955;0.508305117541857;0.205568843860928;0.554057095326566;0.45307677906015;0.494461700209201;0.487901423212523
0;0;0;0;0;0;0;0;0;0
0.018669334149395;0.000232892634459799;0.452170820559396;0.438132761818847;0.530747418311939;0.190013529821064;0.644242968748136;0.478190738310334;0.525722276927137;0.598853961880821
0.0319412004041432;0.000261661133665134;0.476024449807228;0.405064028860292;0.540923619411167;0.214857168807072;0.631773658576981;0.488574208606379;0.536216253385034;0.571372633187887
0.0333554190758329;0.000176781820510436;0.415811139743876;0.341754773475056;0.470848721070456;0.184801817074348;0.528353752752454;0.416500113020837;0.456947853296541;0.463716751669356
0;0;0;0;0;0;0;0;0;0
0.0219543247387954;0.000278683092117219;0.453631171091237;0.405096959002101;0.525059098783938;0.181387661564255;0.640819949771979;0.470911805773231;0.524895012263113;0.589341163740792
0.030485533772467;0.000278050368644244;0.472889819554722;0.406970620777398;0.536169127925967;0.214076388153322;0.629486811367689;0.483926008236772;0.530770769536189;0.570015054667524
0.0382668322345419;7.60082595047223e-05;0.439464136520026;0.369029866190461;0.507778608876015;0.204082277396574;0.553490685485844;0.454825355357295;0.493421244265789;0.489129180093576
0;0;0;0;0;0;0;0;0;0
0.0300478419932396;0;0.424376881154559;0.359402073841948;0.488594078703478;0.180506597741147;0.557391128523604;0.441591985983967;0.473782831505535;0.494903986494977
0.03190712797308;0.000324185708568955;0.477013546624809;0.410608060787632;0.543624331942347;0.218578082507287;0.633823436335614;0.490538174934663;0.54009089437011;0.572745650132113
0.0243905990326158;0.000167008991142024;0.453544357461167;0.400873504742326;0.514520917838938;0.188136921843081;0.620570692134758;0.458015648392099;0.507067310580724;0.573799461024347
0;0;0;0;0;0;0;0;0;0
0.0230070301478538;0.000281745543678947;0.459193149557853;0.409359828247702;0.529088886543878;0.184591139861865;0.642533351275452;0.476296820965112;0.527128137302195;0.590244340057923
0.0310152297863238;0.000279015316086816;0.474944287770509;0.40805539985701;0.538749259068525;0.21616965314719;0.631062852728373;0.485361455023533;0.534098987964011;0.572015572437986
0.0347517480850133;7.44410788963775e-05;0.426052010960875;0.361273830276407;0.493545167869334;0.192052293153113;0.546965494764949;0.444239346986512;0.478014255839794;0.481809489230673
