Random;ItemAVG;MMMF;WMF;HPF;IBPR;WBPR;SKM;NEUMF;VAECF
0.993982542761418;0.999247046376301;0.851505907247399;0.738751542937753;0.759754011638159;0.881128548756833;0.789383706577323;0.762086051842709;0.822559513313349;0.661736025392347
0.999518960780891;0.999940685407281;0.987802342012312;0.782504249163844;0.966102020752076;0.984705033771844;0.977554974235782;0.957884572126357;0.978853259892499;0.951479503701139
0;0;0;0;0;0;0;0;0;0
0.999886649514008;1;0.995882075471698;0.863959977129791;0.979826901086336;0.992595626072042;0.9906675242996;0.976464122355633;0.991499428244711;0.982130931961121
0.998919878331686;0.99985767050034;0.973264649607871;0.75115992795217;0.942803557536635;0.973767092085251;0.956937329604787;0.934422390894497;0.96129972736766;0.916570845861102
0.99969660014782;1;0.992178122690318;0.850513673318553;0.979685144124169;0.984415003695492;0.984414634146342;0.971677753141168;0.984837767923134;0.968162232076867
0;0;0;0;0;0;0;0;0;0
0.999911504424779;1;0.997960651074589;0.864226453855879;0.978001738305942;0.992809734513274;0.99307917193426;0.975159608091025;0.993076801517067;0.981812579013907
0.999010100179716;0.999871561246184;0.975283195520572;0.762867744277968;0.946720490143019;0.975585744200332;0.96017062749907;0.93890712310436;0.964235698643338;0.923068937208988
0.999733758106724;1;0.992705654795768;0.84702497439982;0.978649448173854;0.985409034019798;0.984134713846854;0.970345602457618;0.984772727272728;0.969331266355672
0;0;0;0;0;0;0;0;0;0
0.999880478087649;1;0.996450836653387;0.876354262948211;0.981379760956176;0.993381832669323;0.991985338645419;0.978389003984065;0.992663266932271;0.984609561752989
0.999156672200713;0.999900263758468;0.978334693535037;0.767035456838547;0.950204244158397;0.977791380708938;0.963136109570827;0.941688465544386;0.966699621392241;0.928647970474843
0.998483258165915;0.999778187781878;0.964755910892443;0.741311876452099;0.935579745797459;0.964090337570043;0.94892975263086;0.92788642886429;0.954106874402078;0.89985704523712
0;0;0;0;0;0;0;0;0;0
0.998186566443471;0.999688385269122;0.957892818053052;0.698158801184651;0.91921388101983;0.958998116791141;0.937179210661859;0.911138938964718;0.944149014936904;0.878013697527685
0.998973072807342;0.999903717537144;0.971999681030579;0.716703965510146;0.938173334156478;0.973924558587478;0.953947066510267;0.928449319874879;0.958135598016214;0.908359339630404
0.999861087259336;1;0.99691274543477;0.884563202434781;0.984625217051155;0.992065229835708;0.991355591810253;0.979515117255326;0.99201931516782;0.985396750434101
0;0;0;0;0;0;0;0;0;0
0.99995983935743;1;0.996506024096386;0.878353413654622;0.981847389558234;0.993453815261044;0.992208835341366;0.978755020080322;0.99285140562249;0.985020080321286
0.99915738325225;0.999899217037164;0.978082169129372;0.773895701762333;0.950329964108604;0.977303562615202;0.962859652568632;0.941867200169212;0.96645006765309;0.928851685283853
0.998445478524859;0.999787985865724;0.966409694918629;0.714943139401782;0.935533145871698;0.966619220624099;0.950615015179416;0.927727815657195;0.955630319016574;0.900352734783259
