Random;ItemAVG;MMMF;WMF;HPF;IBPR;WBPR;SKM;NEUMF;VAECF
-82.5961997433479;-97.8873883369997;77.9405616772707;129.375991606153;423.70566390504;14.5366479942895;518.017149741007;429.9366513796;533.410685077208;218.119708107241
-88.1731917317949;-98.5633169459366;105.445205769554;42.1610588915267;237.184673473087;-35.9187840413915;328.777088765919;195.656777422426;330.751383915354;216.522969852657
0;0;0;0;0;0;0;0;0;0
-89.3610471856683;-98.6884078073749;98.6101172124461;20.9634660353329;197.661956271569;-44.4185502656144;291.712032503771;161.793845624114;293.246200341763;230.050061394934
-87.4762630336571;-98.4840966611054;105.544719065205;57.307209191603;258.502969445817;-28.8600869664207;351.656956236891;221.910019591153;354.503489314448;211.9220498264
-88.1869945681499;-98.5645011938758;108.446249812494;15.6086234917078;248.129273643251;-46.2124814482963;327.703280253023;183.27568947648;330.396318518544;230.601964463979
0;0;0;0;0;0;0;0;0;0
-88.1506962323188;-98.5761176573403;112.766720277775;32.0592345490418;221.007925013173;-45.1724596055501;325.356953151023;184.891569660167;326.913429443318;254.365466611523
-87.828903248248;-98.5200401062743;103.258489049609;51.5352428093251;248.320272873649;-30.912731722496;341.040668316867;212.147753946175;343.726798724683;211.789746948922
-88.264272327278;-98.575071008984;107.714506397229;18.6708331445755;246.025478456049;-44.6145479144516;324.678445582451;183.119435549868;327.227239247556;230.10799016611
0;0;0;0;0;0;0;0;0;0
-89.5428276622233;-98.7025530261054;97.2330868760956;18.0992951570797;193.077416688255;-45.4650044498088;287.483984113402;157.7395017965;289.005130937676;230.264822083855
-88.0247716768336;-98.555712857909;101.5162041972;47.6060513872644;241.47142305983;-33.1152788302232;330.551557566467;202.353632921011;333.031268425735;209.65657075394
-85.1587248408331;-98.1800308971929;128.76059692279;75.8934133658005;338.363611880071;-20.3023491873554;441.109978106377;292.583537538213;445.669559823993;236.832548571556
0;0;0;0;0;0;0;0;0;0
-84.2261561778422;-98.0813162104325;130.239766463957;102.232791354841;356.254363546002;-9.9337734942458;470.604603137896;327.924873502227;475.266545613259;227.232384698567
-87.0346451701563;-98.439162205163;111.713091610068;72.0697417873866;273.705397198734;-23.8374336896611;365.180363577355;234.740593727386;367.975896487287;210.29469000176
-89.861048403762;-98.7582747195861;89.9163324520918;6.71767606476688;186.343747621409;-49.291543932762;270.599446427971;142.712589548807;272.2984561335;218.681688651619
0;0;0;0;0;0;0;0;0;0
-89.5084458692455;-98.6973721792688;98.3577852607639;18.1184748475755;194.370388548906;-45.282094495124;289.017980785066;158.623566057739;290.558470721576;232.512873419039
-88.1750427761575;-98.569048036404;100.220202756862;44.4598041607504;239.965135878421;-34.3777678060322;326.470004725419;198.603468827215;329.033068144036;210.304342895028
-84.4503990845623;-98.1211376039453;134.080510884048;91.1476856579973;343.43347407283;-14.4464128789961;459.276488092433;309.542538568722;463.327154864174;231.624179842452
